Chemical Name,Chemical Abbreviation,Molecular Weight (g/mol),Density            (g/mL),InChI=,InChI Key (ID),Chemical Category,Canonical SMILES String,Molecular Formula,PubChem ID,ECL Chemical id,ECL Product id,Catalog description,Synonyms,Catalog number,Sigma-Aldrich URL,Primary Information Source
2-Pyrrolidin-1-ium-1-ylethylammonium iodide,2Pyrrolidin1ium1ylethylammoniumiodide,370.02,2.078859,InChI=1S/C6H14N2.2HI/c7-3-6-8-4-1-2-5-8;;/h1-7H2;2*1H,UVLZLKCGKYLKOR-UHFFFAOYSA-N,organic,C1CC[NH+](C1)CC[NH3+].[I-].[I-],C6H16I2N2,,,,,,,,
"N,N-Dimethylethane-1,2-diammonium iodide",NNDimethylethane12diammoniumiodide,343.98,2.180165,"InChI=1S/C4H12N2.2HI/c1-6(2)4-3-5;;/h3-5H2,1-2H3;2*1H",BAMDIFIROXTEEM-UHFFFAOYSA-N,organic,C[NH+](C)CC[NH3+].[I-].[I-],C4H14I2N2,,,,,,,,
"N,N-dimethylpropane-1,3-diammonium iodide",NNdimethylpropane13diammoniumiodide,358.01,2.053208,"InChI=1S/C5H14N2.2HI/c1-7(2)5-3-4-6;;/h3-6H2,1-2H3;2*1H",JERSPYRKVMAEJY-UHFFFAOYSA-N,organic,C[NH+](C)CCC[NH3+].[I-].[I-],C5H16I2N2,,,,,,,,
"N,N-Diethylpropane-1,3-diammonium iodide",NNDiethylpropane13diammoniumiodide,386.06,1.848218,"InChI=1S/C7H18N2.2HI/c1-3-9(4-2)7-5-6-8;;/h3-8H2,1-2H3;2*1H",NXRUEVJQMBGVAT-UHFFFAOYSA-N,organic,CC[NH+](CC)CCC[NH3+].[I-].[I-],C7H20I2N2,,,,,,,,
Di-isopropylammonium iodide,Diisopropylammoniumiodide,229.10,1.454266,"InChI=1S/C6H15N.HI/c1-5(2)7-6(3)4;/h5-7H,1-4H3;1H",PBGZCCFVBVEIAS-UHFFFAOYSA-N,organic,CC(C)[NH2+]C(C)C.[I-],C6H16IN,517666,,,,,,,
4-methoxy-phenethylammonium-iodide,4methoxyphenethylammoniumiodide,279.12,1.566776,"InChI=1S/C9H13NO.HI/c1-11-9-4-2-8(3-5-9)6-7-10;/h2-5H,6-7,10H2,1H3;1H",QNNYEDWTOZODAS-UHFFFAOYSA-N,organic,[I-].[NH3+](CCC1=CC=C(C=C1)OC),,,,,,,,,
Iso-Propylammonium Bromide ,IsoPropylammoniumBromide ,140.02,1.841935,"InChI=1S/C3H9N.BrH/c1-3(2)4;/h3H,4H2,1-2H3;1H",WGWKNMLSVLOQJB-UHFFFAOYSA-N,organic,CC(C)[NH3+].[Br-],C3H10BrN,22495069,,,,,,,
4-Trifluoromethyl-Phenylammonium Bromide,4TrifluoromethylPhenylammoniumBromide,242.04,1.892700,"InChI=1S/C7H6F3N.BrH/c8-7(9,10)5-1-3-6(11)4-2-5;/h1-4H,11H2;1H",YDUCBKSFOWFMMQ-UHFFFAOYSA-N,organic,C1(=CC=C(C=C1)C(F)(F)F)[NH3+].[Br-],C7H7BrF3N,,,,,,,,
Morpholinium Bromide,MorpholiniumBromide,168.03,1.632300,"InChI=1S/C4H9NO.BrH/c1-3-6-4-2-5-1;/h5H,1-4H2;1H",BVJOXYJFOYNQRB-UHFFFAOYSA-N,organic,C1COCC[NH2+]1.[Br-],C4H10BrNO,57498396,,,,,,,
Cyclohexylmethylammonium Bromide,CyclohexylmethylammoniumBromide,194.12,1.326600,"InChI=1S/C7H15N.BrH/c8-6-7-4-2-1-3-5-7;/h7H,1-6,8H2;1H",LBEXWMLYXHXELS-UHFFFAOYSA-N,organic,[NH3+]CC1CCCCC1.[Br-],C7H16BrN,,,,,,,,
"N,N-dimethylpropane-1,3-diammonium Bromide",NNdimethylpropaneDiammoniumBromide,264.01,1.690000,"InChI=1S/C5H14N2.2BrH/c1-7(2)5-3-4-6;;/h3-6H2,1-2H3;2*1H",QIDAXQPTQFYPDP-UHFFFAOYSA-N,organic,C[NH+](C)CCC[NH3+].[Br-].[Br-],C5H16Br2N2,,,,,,,,
2-Pyrrolidin-1-ium-1-ylethylammonium bromide,2Pyrrolidin1ium1ylethylammoniumbromide,276.02,1.730000,InChI=1S/C6H14N2.2BrH/c7-3-6-8-4-1-2-5-8;;/h1-7H2;2*1H,FPPIGJMXVSXJPF-UHFFFAOYSA-N,organic,[NH3+]CC[NH+]1CCCC1.[Br-].[Br-],C6H16Br2N2,,,,,,,,
"1,4-Benzenediammonium bromide",BenzenediammoniumBromide,269.97,1.959400,"InChI=1S/C6H8N2.2BrH/c7-5-1-2-6(8)4-3-5;;/h1-4H,7-8H2;2*1H",KTHOOQOVVOZMIG-UHFFFAOYSA-N,organic,[NH3+]c1ccc([NH3+])cc1.[Br-].[Br-],C6H10Br2N2,,,,,,,,
"Butane-1,4-diammonium bromide",ButanediammoniumBromide,249.98,1.803800,InChI=1S/C4H12N2.2BrH/c5-3-1-2-4-6;;/h1-6H2;2*1H,UTDOJTBJZVYMNB-UHFFFAOYSA-N,organic,[NH3+]CCCC[NH3+].[Br-].[Br-],C4H14Br2N2,,,,,,,,
Di-iso-Propylammonium bromide,DiIsoPropylammoniumBromide,182.11,1.265100,"InChI=1S/C6H15N.BrH/c1-5(2)7-6(3)4;/h5-7H,1-4H3;1H",KIJXMUOJNZXYHU-UHFFFAOYSA-N,organic,CC(C)[NH2+]C(C)C.[Br-],C6H16BrN,,,,,,,,
Diethylammonium bromide,DiethylammoniumBromide,154.05,1.410700,"InChI=1S/C4H11N.BrH/c1-3-5-4-2;/h5H,3-4H2,1-2H3;1H",AATGHKSFEUVOPF-UHFFFAOYSA-N,organic,CC[NH2+]CC.[Br-],C4H12BrN,,,,,,,,
"N,N-Dimethylethane-1,2-diammonium bromide",NNDimethylethaneDiammoniumBromide,249.98,1.783100,"InChI=1S/C4H12N2.2BrH/c1-6(2)4-3-5;;/h3-5H2,1-2H3;2*1H",MDXXRKKHSWLPQO-UHFFFAOYSA-N,organic,CC[NH+](CC)CC[NH3+].[Br-].[Br-],C4H14Br2N2,,,,,,,,
"Hexane-1,6-diammonium bromide",HexaneDiammoniumBromide,278.03,1.627600,InChI=1S/C6H16N2.2BrH/c7-5-3-1-2-4-6-8;;/h1-8H2;2*1H,XSYPBULLQGGYPJ-UHFFFAOYSA-N,organic,[NH3+]CCCCCC[NH3+].[Br-].[Br-],C6H18Br2N2,,,,,,,,
4-Trifluoromethyl-Benzylammonium bromide,TrifluoromethylBenzylammoniumBromide,256.07,2.406500,"InChI=1S/C8H8F3N.BrH/c9-8(10,11)7-3-1-6(5-12)2-4-7;/h1-4H,5,12H2;1H",NKMWCZULQZETPE-UHFFFAOYSA-N,organic,C1(=CC=C(C=C1)C(F)(F)F)C[NH3+].[Br-],C8H9BrF3N,,,,,,,,
4-Fluoro- Benzylammonium bromide,4FluoroBenzylammoniumBromide,206.06,2.944893,"InChI=1S/C7H8FN.BrH/c8-7-3-1-6(5-9)2-4-7;/h1-4H,5,9H2;1H",PHIMWJYSMVBDPA-UHFFFAOYSA-N,organic,[NH3+]Cc1ccc(F)cc1.[Br-],,,,,,,,,
4-Fluoro-Phenethylammonium bromide,4FluoroPhenethylammoniumBromide,220.09,2.846364,"InChI=1S/C8H10FN.BrH/c9-8-3-1-7(2-4-8)5-6-10;/h1-4H,5-6,10H2;1H",ORNUPOUGVYVYHV-UHFFFAOYSA-N,organic,[NH3+]CCc1ccc(F)cc1.[Br-],,,,,,,,,
4-Fluoro-Phenylammonium bromide,4FluoroPhenBromide,192.03,3.066623,"InChI=1S/C6H6FN.BrH/c7-5-1-3-6(8)4-2-5;/h1-4H,8H2;1H",UFXSFFZUFGPRAI-UHFFFAOYSA-N,organic,[NH3+]c1ccc(F)cc1.[Br-],,,,,,,,,
4-methoxy-phenethylammonium-bromide,4MethoxyPhenethylammoniumBromide,232.12,2.697986,"InChI=1S/C9H13NO.BrH/c1-11-9-4-2-8(3-5-9)6-7-10;/h2-5H,6-7,10H2,1H3;1H",ZMSVLPNLFXWMKL-UHFFFAOYSA-N,organic,COc1ccc(CC[NH3+])cc1.[Br-],,,,,,,,,
4-Methoxy-Phenylammonium bromide,4MethoxyPhenylammoniumBromide,204.07,2.855279,"InChI=1S/C7H9NO.BrH/c1-9-7-4-2-6(8)3-5-7;/h2-5H,8H2,1H3;1H",RJMOZBXAFVSKRY-UHFFFAOYSA-N,organic,COc1ccc([NH3+])cc1.[Br-],,,,,,,,,
Cyclohexylammonium bromide,CyclohexylammoniumBromide,180.09,2.666702,"InChI=1S/C6H13N.BrH/c7-6-4-2-1-3-5-6;/h6H,1-5,7H2;1H",QOHWJRRXQPGIQW-UHFFFAOYSA-N,organic,[NH3+]C1CCCCC1.[Br-],,,,,,,,,
Dimethylammonium bromide,Me2NH2Br,126.00,2.941156,"InChI=1S/C2H7N.BrH/c1-3-2;/h3H,1-2H3;1H",FFJMLWSZNCJCSZ-UHFFFAOYSA-N,organic,C[NH2+]C.[Br-],,,,,,,,,
Imidazolium bromide,ImidazoliumBromide,148.99,3.267861,"InChI=1S/C3H4N2.BrH/c1-2-5-3-4-1;/h1-3H,(H,4,5);1H",VWUCIBOKNZGWLX-UHFFFAOYSA-N,organic,c1c[nH+]c[nH]1.[Br-],,,,,,,,,
iso-Pentylammonium bromide,IsoPentylammoniumBromide,168.08,2.604508,"InChI=1S/C5H13N.BrH/c1-5(2)3-4-6;/h5H,3-4,6H2,1-2H3;1H",OJOMXIACRLGDRB-UHFFFAOYSA-N,organic,CC(C)CC[NH3+].[Br-],,,,,,,,,
n-Butylammonium bromide,NButylammoniumBromide,154.05,2.692208,"InChI=1S/C4H11N.BrH/c1-2-3-4-5;/h2-5H2,1H3;1H",SXGBREZGMJVYRL-UHFFFAOYSA-N,organic,CCCC[NH3+].[Br-],,,,,,,,,
n-Hexylammonium bromide,NHexylammoniumBromide,182.11,2.541042,"InChI=1S/C6H15N.BrH/c1-2-3-4-5-6-7;/h2-7H2,1H3;1H",ZLSVALLKHLKICA-UHFFFAOYSA-N,organic,CCCCCC[NH3+].[Br-],,,,,,,,,
n-Octylammonium bromide,NOctylammoniumBromide,210.16,2.443081,"InChI=1S/C8H19N.BrH/c1-2-3-4-5-6-7-8-9;/h2-9H2,1H3;1H",GIDDQKKGAYONOU-UHFFFAOYSA-N,organic,CCCCCCCC[NH3+].[Br-],,,,,,,,,
N-propylammonium bromide,NPropylammoniumBromide,140.02,2.802504,"InChI=1S/C3H9N.BrH/c1-2-3-4;/h2-4H2,1H3;1H",MVYQJCPZZBFMLF-UHFFFAOYSA-N,organic,CCC[NH3+].[Br-],,,,,,,,,
"N,N-Diethylpropane-1,3-diammonium bromide",NNDiethylpropaneDiammoniumBromide,292.06,2.822177,"InChI=1S/C7H18N2.2BrH/c1-3-9(4-2)7-5-6-8;;/h3-8H2,1-2H3;2*1H",WIEDADHWBFYIRI-UHFFFAOYSA-N,organic,CC[NH+](CC)CCC[NH3+].[Br-].[Br-],,,,,,,,,
Phenylammonium bromide,PhenylammoniumBromide,174.04,2.917770,"InChI=1S/C6H7N.BrH/c7-6-4-2-1-3-5-6;/h1-5H,7H2;1H",KBPWECBBZZNAIE-UHFFFAOYSA-N,organic,[NH3+]c1ccccc1.[Br-],,,,,,,,,
Pyridinium bromide,PyridiniumBromide,160.01,3.043198,InChI=1S/C5H5N.BrH/c1-2-4-6-5-3-1;/h1-5H;1H,BBFCIBZLAVOLCF-UHFFFAOYSA-N,organic,c1cc[nH+]cc1.[Br-],,,,,,,,,
t-Butylammonium bromide,TButylammoniumBromide,154.05,2.687563,"InChI=1S/C4H11N.BrH/c1-4(2,3)5;/h5H2,1-3H3;1H",CQKAPARXKPTKBK-UHFFFAOYSA-N,organic,CC(C)(C)[NH3+].[Br-],,,,,,,,,
tert-Octylammonium bromide,TOctylammoniumBromide,210.16,2.433206,"InChI=1S/C8H19N.BrH/c1-7(2,3)6-8(4,5)9;/h6,9H2,1-5H3;1H",GDLPVSVSDKCFKN-UHFFFAOYSA-N,organic,CC(C)(C)CC(C)(C)[NH3+].[Br-],,,,,,,,,
2-Methoxyethylammonium bromide,2MethoxyEthylammoniumBromide,156.02,2.861683,"InChI=1S/C3H9NO.BrH/c1-5-3-2-4;/h2-4H2,1H3;1H",XAZUEHTWFIPWFR-UHFFFAOYSA-N,organic,COCC[NH3+].[Br-],,,,,,,,,
"N,N-Dimethylmethyleneammonium iodide",NNDimethylmethyleneammoniumIodide,185.01,1.96,"InChI=1S/C3H8N.HI/c1-4(2)3;/h1H2,2-3H3;1H/q+1;/p-1",VVDUZZGYBOWDSQ-UHFFFAOYSA-M,organic,C[N+](=C)C.[I-],C3H8IN,2724133,,,,,,,
2-Fluoroethylamine hydrochloride,2Fluoroethylaminehydrochloride,99.53,1.380000,"InChI=1S/C2H6FN.ClH/c3-1-2-4;/h1-2,4H2;1H",YRRZGBOZBIVMJT-UHFFFAOYSA-N,organic,C(CF)N.Cl,C2H7ClFN,9995,,,,,,,
2-(2-Naphthyl)ethylamine hydrochloride,Naphthylethylaminehydrochloride,207.70,,"InChI=1S/C12H13N.ClH/c13-8-7-10-5-6-11-3-1-2-4-12(11)9-10;/h1-6,9H,7-8,13H2;1H",VJPPXKBLHHCXLG-UHFFFAOYSA-N,organic,C1=CC=C2C=C(C=CC2=C1)CCN.Cl,C12H14ClN,16218122,,,,,,,
Iodomethyltrimethylammonium iodide,Iodomethyltrimethylammoniumiodide,326.95,2.590000,"InChI=1S/C4H11IN.HI/c1-6(2,3)4-5;/h4H2,1-3H3;1H/q+1;/p-1",IFVIWWQMNYZYFQ-UHFFFAOYSA-M,organic,C[N+](C)(C)CI.[I-],C4H11I2N,38328,,,,,,,
